Time	InhDendSyn0	InhDendSyn1	InhSomaSyn0	ExcSyn0	ExcSyn1	ExcSyn2
0	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
0.903198	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
1.8064	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
2.70959	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
3.61279	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
4.51599	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
5.41919	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
6.32239	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
7.22558	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
8.12878	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
9.03198	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
9.93518	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
10.8384	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
11.7416	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
12.6448	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
13.548	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
14.4512	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
15.3544	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
16.2576	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
17.1608	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
18.064	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
18.9672	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
19.8704	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
20.7736	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
21.6767	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000
22.5799	0.000000	0.000000	0.000000	-0.012261	-0.012256	-0.012223
23.4831	0.000000	0.000000	0.000000	-0.024337	-0.024326	-0.024262
24.3863	0.000000	0.000000	0.000000	-0.054772	-0.054720	-0.054593
25.2895	0.000000	0.000000	0.000000	-0.084147	-0.084010	-0.083852
26.1927	0.000000	0.000000	0.000000	-0.112400	-0.112116	-0.111971
27.0959	0.000000	0.000000	0.000000	-0.154368	-0.153714	-0.153682
27.9991	0.000000	0.000000	0.000000	-0.193690	-0.192480	-0.192671
28.9023	0.000000	0.000000	0.000000	-0.249767	-0.247339	-0.248060
29.8055	0.000000	0.000000	0.000000	-0.300116	-0.296080	-0.297488
30.7087	0.000000	0.000000	0.000000	-0.345164	-0.339218	-0.341376
